㑳,zhòu
㑿,zhào
㒓,tà
㓦,bò
㔩,è
㕙,jùn
㕷,pā
㖡,yè
㖪,yù
㘔,sāi
㛂,nuǒ
㞞,sóng
㟏,hān
㥄,líng
㥏,tiǎn
㩐,dèn
㩳,sǒng
㫃,yǎn
㬊,huǎn
㭘,xiá
㲪,dēng
㲯,lán
㵝,yì
㵞,chóu
㶁,guó
㶟,léi
㸌,huò
㸙,zhē
㹜,yín
䀇,gǔ
䀇子,gǔzi
䀠,jù
䀢,shùn
䁑,shì
䆿,yì
䈰,shāo
䈾,shāo
䉶,shuāng
䍡,lù
䍦,lí
䍪,wà
䏿,qǐ
䒷,guā
䖵,kūn
䘿,jué
䛟,jiá
䟫,chéng
䠷,tiǎo
䨲,nóu
䫄,chuà
䫏,qī
䰀,wǒ
䰐,lán
䰖,zuǎn
䰖兒,zuǎnr　(變)zuǎr
䰰,rú
一,yī
一下子,yīxiàzi
一不小心,yībuxiǎoxīn
一不拗眾,yībùniùzhòng
一不溜,yībùliū
一丘之貉,yīqiūzhīhé
一丟兒,yīdiūr
一乾二淨,yīgānèrjìng
一了百了,yīliǎobǎiliǎo
一了百當,yīliǎobǎidāng
一令,yīlíng
一個,yīge
一個不小心,yīgebùxiǎoxīn
一個勁兒,yī　ge　jìnr　(變)yí　ge　jièr
一個子兒,yīgezǐr
一個巴掌拍不響,yīgebāzhǎngpāibùxiǎng
一個心眼兒,yīgexīnyǎnr(變)yígexīnyǎr
一個樣兒,yīgeyàngr
一個獵古調,yīgeliègǔdiào
一個紅臉一個白臉,yīgehóngliǎnyīgebáiliǎn
一個蘿蔔一個坑兒,yīgeluóboyīgekēngr
一個跟斗十萬八千里,yīgegēndǒushíwànbāqiānlǐ
一個錢打二十四個結,yīgeqiándǎèrshísìgejié
一個鍋裡吃飯的,yīgeguōlǐchīfànde
一個頭兩個大,yīgetóuliǎnggedà
一個鼻孔出氣,yīgebíkǒngchūqì
一倡百和,yīchàngbǎihè
一停兒,yītíngr
一刀切,yīdāoqiē
一分子,yīfènzǐ
一剗,yīchàn
一口價兒,yīkǒujiàr
一口吃個胖子,yīkǒuchīgepàngzi
一古腦兒,yīgǔnǎor
一呼百應,yīhūbǎiyìng
一呼百諾,yīhūbǎinuò
一唱一和,yīchàngyīhè
一唱百和,yīchàngbǎihè
一回生兩回熟,yīhuíshēngliǎnghuíshóu
一團漆黑,yītuánqīhēi
一地裡,yīdìlǐ(變)yīdìli
一垛,yīduò
一塊兒,yīkuàir(變)yíkuàr
一塊石頭拋上天,yīkuàishítoupāoshàngtiān
一塊石頭掉井裡,yīkuàishítoudiàojǐnglǐ
一塊石頭落了地,yīkuàishítouluòledì
一夜夫妻百夜恩,yīyèfūqībǎiyèēn
一夜夫妻百日恩,yīyèfūqībǎirìēn
一夥子持臥單,yīhuǒzichíwòdān
一大會兒,yī　dà　huǐr　(變)yí　dà　huěr
一天一個現在,yītiānyīgexiànzài
一子兒,yī　zǐr　(變)yì　zěr
一字不忘,yīzìbùwàng
一字兒,yīzìr(變)yízèr
一字襟坎肩兒,yīzìjīnkǎnjiānr(變)yízìjīnkǎnjiār
一宅分兩院,yīzháifēnliǎngyuàn
一家子,yījiāzi
一宿,yīxiǔ
一就手兒,yījiùshǒur
一工兒,yīgōngr
一年半載,yīniánbànzǎi
一弄兒,yīnòngr
一彈指,yītánzhǐ
一忽兒,yīhūr
一怔,yīlèng
一息奄奄,yīxíyānyān
一手兒,yīshǒur
一扎腳,yīzhājiǎo
一扠,yīzhǎ
一把子,yībǎzi
一把抓,yībǎzhuā
一把死拿兒,yībǎsǐnár
一抿子,yīmǐnzi
一拍即合,yīpāijíhé
一搖三晃,yīyáosānhuàng
一撇,yīpiě
一擲百萬,yīzhíbǎiwàn
一攬子,yīlǎnzi
一日之長,yīrìzhīzhǎng
一日夫妻百日恩,yīrìfūqībǎirìēn
一早起了,yīzǎoqǐle
一星兒,yīxīngr
一星半點兒,yī　xīng　bàn　diǎnr　(變)yì　xīng　bàn　diǎr
一星子,yīxīngzi
一景兒,yījǐngr
一暴十寒,yīpùshíhán
一曲千金,yīqǔqiānjīn
一曲陽關,yīqǔyángguān
一會,yīhuǐ
一會兒,yīhuǐr　(變)yì　huěr
一會子,yīhuǐzi
一會家,yīhuǐjia
一朝天子一朝臣,yīcháotiānzǐyīcháochén
一架子,yījiàzi
一條腸子,yītiáochángzi
